/run/media/levan/SDXC/NSU/MyLabs/OS/lab3/task3/build master* ⇡
❯ sudo ./prog
=== PID: 17952 ===
0x7f50e2ae0000 | RAM  | PFN: 0x011f6bc | Физический: 0x00011f6bc000 | [DIRTY]
0x7f50e2ae1000 | RAM  | PFN: 0x011f6bd | Физический: 0x00011f6bd000 | [DIRTY]
0x7f50e2ae2000 | RAM  | PFN: 0x011f6be | Физический: 0x00011f6be000 | [DIRTY]
0x7f50e2ae3000 | RAM  | PFN: 0x011f6bf | Физический: 0x00011f6bf000 | [DIRTY]
0x7f50e2ae4000 | RAM  | PFN: 0x011f6c0 | Физический: 0x00011f6c0000 | [DIRTY]
0x7f50e2ae5000 | RAM  | PFN: 0x011f6c1 | Физический: 0x00011f6c1000 | [DIRTY]
0x7f50e2ae6000 | RAM  | PFN: 0x011f6c2 | Физический: 0x00011f6c2000 | [DIRTY]
0x7f50e2ae7000 | RAM  | PFN: 0x011f6c3 | Физический: 0x00011f6c3000 | [DIRTY]
0x7f50e2ae8000 | RAM  | PFN: 0x011f6c4 | Физический: 0x00011f6c4000 | [DIRTY]
0x7f50e2ae9000 | RAM  | PFN: 0x011f6c5 | Физический: 0x00011f6c5000 | [DIRTY]
0x7f50e2aea000 | RAM  | PFN: 0x011f6c6 | Физический: 0x00011f6c6000 | [DIRTY]
0x7f50e2aeb000 | RAM  | PFN: 0x011f6c7 | Физический: 0x00011f6c7000 | [DIRTY]
0x7f50e2aec000 | RAM  | PFN: 0x011f6c8 | Физический: 0x00011f6c8000 | [DIRTY]
0x7f50e2aed000 | RAM  | PFN: 0x011f6c9 | Физический: 0x00011f6c9000 | [DIRTY]
0x7f50e2aee000 | RAM  | PFN: 0x011f6ca | Физический: 0x00011f6ca000 | [DIRTY]
0x7f50e2aef000 | RAM  | PFN: 0x011f6cb | Физический: 0x00011f6cb000 | [DIRTY]
0x7f50e2b00000 | RAM  | PFN: 0x011f6dc | Физический: 0x00011f6dc000 | [DIRTY]
0x7f50e2b01000 | RAM  | PFN: 0x011f6dd | Физический: 0x00011f6dd000 | [DIRTY]
0x7f50e2b02000 | RAM  | PFN: 0x011f6de | Физический: 0x00011f6de000 | [DIRTY]
0x7f50e2b03000 | RAM  | PFN: 0x011f6df | Физический: 0x00011f6df000 | [DIRTY]
0x7f50e2b04000 | RAM  | PFN: 0x011f6e0 | Физический: 0x00011f6e0000 | [DIRTY]
0x7f50e2b05000 | RAM  | PFN: 0x011f6e1 | Физический: 0x00011f6e1000 | [DIRTY]
0x7f50e2b06000 | RAM  | PFN: 0x011f6e2 | Физический: 0x00011f6e2000 | [DIRTY]
0x7f50e2b07000 | RAM  | PFN: 0x011f6e3 | Физический: 0x00011f6e3000 | [DIRTY]
0x7f50e2b08000 | RAM  | PFN: 0x011f6e4 | Физический: 0x00011f6e4000 | [DIRTY]
0x7f50e2b09000 | RAM  | PFN: 0x011f6e5 | Физический: 0x00011f6e5000 | [DIRTY]
0x7f50e2b0a000 | RAM  | PFN: 0x011f6e6 | Физический: 0x00011f6e6000 | [DIRTY]
0x7f50e2b0b000 | RAM  | PFN: 0x011f6e7 | Физический: 0x00011f6e7000 | [DIRTY]
0x7f50e2b0c000 | RAM  | PFN: 0x011f6e8 | Физический: 0x00011f6e8000 | [DIRTY]
0x7f50e2b0d000 | RAM  | PFN: 0x011f6e9 | Физический: 0x00011f6e9000 | [DIRTY]
0x7f50e2b0e000 | RAM  | PFN: 0x011f6ea | Физический: 0x00011f6ea000 | [DIRTY]
0x7f50e2b0f000 | RAM  | PFN: 0x011f6eb | Физический: 0x00011f6eb000 | [DIRTY]
0x7f50e2b20000 | RAM  | PFN: 0x011f6fc | Физический: 0x00011f6fc000 | [DIRTY]
0x7f50e2b21000 | RAM  | PFN: 0x011f6fd | Физический: 0x00011f6fd000 | [DIRTY]
0x7f50e2b22000 | RAM  | PFN: 0x011f6fe | Физический: 0x00011f6fe000 | [DIRTY]
0x7f50e2b23000 | RAM  | PFN: 0x011f6ff | Физический: 0x00011f6ff000 | [DIRTY]
0x7f50e2b24000 | RAM  | PFN: 0x011f700 | Физический: 0x00011f700000 | [DIRTY]
0x7f50e2b25000 | RAM  | PFN: 0x011f701 | Физический: 0x00011f701000 | [DIRTY]
0x7f50e2b26000 | RAM  | PFN: 0x011f702 | Физический: 0x00011f702000 | [DIRTY]
